,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,MANUFACTURER,BRAND,BARCODE
78494,Health & Wellness,Hair Removal,After Shave,,COTY,JOVAN FRAGRANCE & BODY CARE,UNKNOWN_78494
78572,Snacks,Candy,Mints,,MARS WRIGLEY,ECLIPSE,UNKNOWN_78572
78584,Snacks,Candy,,,THE HERSHEY COMPANY,5TH AVENUE,UNKNOWN_78584
78952,Health & Wellness,Hair Care,Conditioner,,HENKEL,ALTERNA,UNKNOWN_78952
79011,Health & Wellness,Bath & Body,Bar Soap,,UNILEVER,SEVENTH GENERATION PERSONAL CARE,UNKNOWN_79011
79392,Snacks,Candy,Chocolate Candy,,THE HERSHEY COMPANY,CADBURY,UNKNOWN_79392
79425,Dairy,Cheese,Sliced Cheese,,SARGENTO,SARGENTO,UNKNOWN_79425
79628,Health & Wellness,Hair Removal,After Shave,,PROCTER & GAMBLE,THE ART OF SHAVING,UNKNOWN_79628
79814,Snacks,Cookies,,,MONDELĒZ INTERNATIONAL,PINWHEELS,UNKNOWN_79814
80193,Snacks,Puffed Snacks,,,PEPSICO,SABRITONES,UNKNOWN_80193
80411,Health & Wellness,Skin Care,Facial Lotion & Moisturizer,,COTY,"GUCCI FRAGRANCE, BEAUTY, & BODY CARE",UNKNOWN_80411
81244,Snacks,Nuts & Seeds,,,HORMEL FOODS,PLANTERS,UNKNOWN_81244
81352,Health & Wellness,Ear Care,,,ELIDA BEAUTY,Q-TIPS,UNKNOWN_81352
81360,Health & Wellness,Bath & Body,Bath & Body Gift Sets,,PROCTER & GAMBLE,OLAY,UNKNOWN_81360
81711,Health & Wellness,Skin Care,Acne Treatments & Kits,,"E.L.F. COSMETICS, INC",NATURIUM,UNKNOWN_81711
81952,Health & Wellness,Skin Care,Facial Lotion & Moisturizer,,COLGATE-PALMOLIVE,ELTAMD SKINCARE,UNKNOWN_81952
82057,Health & Wellness,Bath & Body,Body Wash,,"BEIERSDORF, INC.",EUCERIN,UNKNOWN_82057
82196,Health & Wellness,Hair Care,Hair Styling Products,,JOHNSON & JOHNSON,MAUI MOISTURE,UNKNOWN_82196
82340,Snacks,,,,THE HERSHEY COMPANY,5TH AVENUE,UNKNOWN_82340
82805,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,ABBOTT,PERATIVE,UNKNOWN_82805
82840,Snacks,Candy,,,FERRARA CANDY COMPANY,PIXY STIX,UNKNOWN_82840
82900,Health & Wellness,Medicines & Treatments,Allergy & Sinus Medicines & Treatments,,HALEON,FLONASE,UNKNOWN_82900
82924,Snacks,Crackers,,,MONDELĒZ INTERNATIONAL,HONEY MAID,UNKNOWN_82924
83065,Health & Wellness,Bath & Body,Bar Soap,,PROCTER & GAMBLE,OLD SPICE,UNKNOWN_83065
83256,Snacks,,,,HORMEL FOODS,SKIPPY,UNKNOWN_83256
83345,Health & Wellness,Bath & Body,Body Wash,,JOHNSON & JOHNSON,AVEENO,UNKNOWN_83345
83396,Health & Wellness,Bath & Body,Bar Soap,,PROCTER & GAMBLE,SAFEGUARD,UNKNOWN_83396
83618,Health & Wellness,Medicines & Treatments,Sleeping & Snoring,,SANOFI AVENTIS US LLC,UNISOM,UNKNOWN_83618
84067,Snacks,Fruit & Vegetable Snacks,,,"OCEAN SPRAY CRANBERRIES, INC.",OCEAN SPRAY,UNKNOWN_84067
84238,Snacks,,,,MARS WRIGLEY,5 GUM,UNKNOWN_84238
84407,Health & Wellness,Skin Care,Facial Cleansers,,"E.L.F. COSMETICS, INC",E.L.F.,UNKNOWN_84407
84460,Snacks,,,,NESTLE,AERO,UNKNOWN_84460
84565,Snacks,Crackers,,,SIMPLE MILLS,SIMPLE MILLS,UNKNOWN_84565
84591,Snacks,Crackers,Other Crackers,,KELLANOVA,CARR'S,UNKNOWN_84591
84657,Snacks,Cookies,,,MONDELĒZ INTERNATIONAL,LORNA DOONE,UNKNOWN_84657
85445,Health & Wellness,Bath & Body,,,COTY,PHILOSOPHY FRAGRANCE & BODY CARE,UNKNOWN_85445
85651,Snacks,Dips & Salsa,Cheese Dip,,ARBOGAST FOODS LLC,ARBO'S,UNKNOWN_85651
85779,Health & Wellness,Menstrual Care,Menstrual Care Cups,,,,UNKNOWN_85779
85844,Snacks,Snack Cakes,Brownie Snack Cakes,,BIMBO,ENTENMANN'S SWEET BAKED GOODS,UNKNOWN_85844
85980,Health & Wellness,Medicines & Treatments,Cough & Cold Medicines & Treatments,Cold & Flu Medicines & Treatments,HALEON,ADVIL,UNKNOWN_85980
86210,Snacks,,,,CONAGRA,FIDDLE FADDLE,UNKNOWN_86210
86318,Health & Wellness,Oral Care,Toothpaste,,PROCTER & GAMBLE,SCOPE,UNKNOWN_86318
86647,Snacks,Jerky & Dried Meat,,,CHOMPS,CHOMPS,UNKNOWN_86647
86756,Health & Wellness,Skin Care,Facial Lotion & Moisturizer,,JOHNSON & JOHNSON,AVEENO,UNKNOWN_86756
86820,Snacks,,,,MONDELĒZ INTERNATIONAL,EASY CHEESE,UNKNOWN_86820
86905,Snacks,Fruit & Vegetable Snacks,,,"OCEAN SPRAY CRANBERRIES, INC.",CRAISINS,UNKNOWN_86905
87283,Snacks,Candy,,,FERRARA CANDY COMPANY,ATOMIC FIREBALL,UNKNOWN_87283
87386,Deli & Bakery,,,,SARGENTO,SARGENTO,UNKNOWN_87386
87979,Snacks,Nuts & Seeds,Mixed Nuts,,HORMEL FOODS,PLANTERS,UNKNOWN_87979
88013,Health & Wellness,Oral Care,Toothpaste,,SANOFI AVENTIS US LLC,ACT,UNKNOWN_88013
88102,Snacks,,,,CAMPBELL SOUP COMPANY,CAPE COD,UNKNOWN_88102
88224,Health & Wellness,Skin Care,Eye Creams,,CHURCH & DWIGHT,HERO COSMETICS,UNKNOWN_88224
88300,Snacks,Snack Cakes,Muffin Snack Cakes,,BIMBO,ENTENMANN'S SWEET BAKED GOODS,UNKNOWN_88300
88430,Snacks,Chips,,,MONDELĒZ INTERNATIONAL,7DAYS,UNKNOWN_88430
88431,Snacks,Snack Cakes,,,FLOWERS FOODS,MRS.FRESHLEY'S,UNKNOWN_88431
88494,Snacks,Candy,,,FERRARA CANDY COMPANY,TROLLI,UNKNOWN_88494
88730,Snacks,Snack Bars,Fruit & Nut Bars,,GENERAL MILLS,NATURE VALLEY,UNKNOWN_88730
88885,Snacks,Cookies,,,CAMPBELL SOUP COMPANY,KJELDSEN,UNKNOWN_88885
89004,Snacks,Candy,,,THE HERSHEY COMPANY,CADBURY,UNKNOWN_89004
89232,Snacks,,,,CONAGRA,CRUNCH 'N MUNCH,UNKNOWN_89232
89365,Health & Wellness,Medicines & Treatments,Cough & Cold Medicines & Treatments,Immune Support,CHURCH & DWIGHT,VITAFUSION,UNKNOWN_89365
89451,Snacks,Snack Bars,Performance & Protein Bars,,HONEY STINGER,HONEY STINGER,UNKNOWN_89451
89716,Snacks,Dips & Salsa,Bean Dip,,GENERAL MILLS,OLD EL PASO,UNKNOWN_89716
90018,Health & Wellness,Hair Care,Shampoo,,UNILEVER,DOVE,UNKNOWN_90018
90075,Health & Wellness,Medicines & Treatments,Skin Treatments,,RECKITT BENCKISER,SCALPICIN,UNKNOWN_90075
90654,Snacks,Fruit & Vegetable Snacks,,,GENERAL MILLS,FRUIT GUSHERS,UNKNOWN_90654
90658,Health & Wellness,Hair Care,Conditioner,,HENKEL,KENRA,UNKNOWN_90658
90685,Health & Wellness,Menstrual Care,Menstrual Care Pads,,PROCTER & GAMBLE,ALWAYS,UNKNOWN_90685
90695,Health & Wellness,Bath & Body,Body Wash,,COTY,GABRIELA SABATINI FRAGRANCE & BODY CARE,UNKNOWN_90695
90956,Health & Wellness,Medicines & Treatments,,,CHURCH & DWIGHT,VIVISCAL,UNKNOWN_90956
90965,Health & Wellness,,,,ABBOTT,PERATIVE,UNKNOWN_90965
91163,Health & Wellness,Skin Care,Skin Toners & Astringents,Skin Toners,COTY,SKKN,UNKNOWN_91163
91999,Health & Wellness,Topical Muscle & Joint Relief Treatments,Topical & Muscular Medicines & Treatments,,JOHNSON & JOHNSON,MOTRIN,UNKNOWN_91999
92145,Health & Wellness,Oral Care,Oral Care Accessories,,PROCTER & GAMBLE,GLEEM,UNKNOWN_92145
92224,Snacks,Fruit & Vegetable Snacks,Fruit Snacks,,GENERAL MILLS,TASTY,UNKNOWN_92224
92582,Snacks,Candy,Chocolate Candy,,CHOCOLOVE,CHOCOLOVE,UNKNOWN_92582
92939,Health & Wellness,Skin Care,,,UNILEVER,DOVE MEN+CARE,UNKNOWN_92939
93036,Health & Wellness,Bath & Body,Body Wash,,ELIDA BEAUTY,CARESS,UNKNOWN_93036
93054,Snacks,,,,THE JM SMUCKER COMPANY,VOORTMAN,UNKNOWN_93054
93453,Health & Wellness,Hair Care,Hair Color,,L'OREAL,GARNIER HAIR COLOR,UNKNOWN_93453
93656,Health & Wellness,,,,"GALDERMA LABORATORIES, L.P.",CETAPHIL,UNKNOWN_93656
93894,Health & Wellness,Bath & Body,Bar Soap,,UNILEVER,APOTHECARE ESSENTIALS,UNKNOWN_93894
93987,Snacks,Crackers,,,THE HERSHEY COMPANY,REESE'S,UNKNOWN_93987
